epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8488,0,28.4038,0,0,0,0,0,0,33.2833,0,0.00024,0.00024,0.00024
2,56.0239,0,26.5902,0,0,0,0,0,0,33.5343,0,0.0004505,0.0004505,0.0004505
3,86.4669,0,24.8194,0,0,0,0,0,0,33.1409,0,0.00060952,0.00060952,0.00060952
4,117.882,0,23.2677,0,0,0,0,0,0,31.3635,0,0.00071706,0.00071706,0.00071706
5,149.907,0,22.0988,0,0,0,0,0,0,29.8307,0,0.00077312,0.00077312,0.00077312
6,184.663,0,21.4963,0,0,0,0,0,0,28.8437,0,0.0007777,0.0007777,0.0007777
7,215.513,0,20.7989,0,0,0,0,0,0,25.8938,0,0.0007308,0.0007308,0.0007308
8,247.626,0,20.418,0,0,0,0,0,0,23.5804,0,0.000614,0.000614,0.000614
9,274.931,0,19.952,0,0,0,0,0,0,23.5804,0,0.000416,0.000416,0.000416
10,304.276,0,19.8241,0,0,0,0,0,0,23.2002,0,0.000218,0.000218,0.000218
