epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.315,3.43591,4.65342,2.53024,0.00193,0.12946,0.00114,0.00026,3.79429,4.01329,3.0716,6e-05,6e-05,6e-05
2,59.0921,3.27217,4.3692,2.4001,0.00067,0.04464,0.00036,0.00011,3.96131,4.04044,3.25519,0.00012614,0.00012614,0.00012614
3,87.5793,3.04402,4.00951,2.26801,0.0004,0.02679,0.00021,5e-05,4.02571,4.02733,3.25905,0.00017644,0.00017644,0.00017644
4,116.528,2.99566,3.66893,2.16589,0.00033,0.02232,0.00017,4e-05,4.00553,3.98795,3.20892,0.0002109,0.0002109,0.0002109
5,143.747,2.65731,3.22613,1.95524,0.00033,0.02232,0.00017,3e-05,3.99871,3.9811,3.20196,0.00022952,0.00022952,0.00022952
6,170.824,2.60559,3.20569,1.90929,0.00047,0.03125,0.00025,3e-05,3.98965,3.97371,3.18585,0.0002323,0.0002323,0.0002323
7,199.976,2.32289,2.77407,1.75477,0.00047,0.03125,0.00025,3e-05,3.99027,3.97545,3.15843,0.00021924,0.00021924,0.00021924
8,228.431,2.23915,3.06644,1.63106,0.00067,0.04464,0.00036,4e-05,3.99376,3.9833,3.12917,0.00019034,0.00019034,0.00019034
9,258.046,2.30682,2.62281,1.64991,0.00087,0.05804,0.00048,6e-05,3.97729,3.97768,3.08513,0.0001456,0.0001456,0.0001456
10,286.609,2.28354,2.61094,1.66727,0.00107,0.07143,0.00065,9e-05,3.95126,3.96678,3.03869,8.502e-05,8.502e-05,8.502e-05
