epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.928,0,94.2445,0,0,0,0,0,0,116.144,0,6e-05,6e-05,6e-05
2,50.6412,0,91.7627,0,0,0,0,0,0,116.296,0,0.00012614,0.00012614,0.00012614
3,75.4637,0,88.5962,0,0,0,0,0,0,116.532,0,0.00017644,0.00017644,0.00017644
4,103.095,0,83.8103,0,0,0,0,0,0,116.405,0,0.0002109,0.0002109,0.0002109
5,130.926,0,78.1108,0,0,0,0,0,0,115.805,0,0.00022952,0.00022952,0.00022952
6,158.071,0,74.6233,0,0,0,0,0,0,114.597,0,0.0002323,0.0002323,0.0002323
7,185.248,0,72.0737,0,0,0,0,0,0,113.343,0,0.00021924,0.00021924,0.00021924
8,32.4994,0,72.4021,0,0,0,0,0,0,101.944,0,0.00019034,0.00019034,0.00019034
9,63.5201,0,70.151,0,0,0,0,0,0,45.4294,0,0.0001456,0.0001456,0.0001456
10,26.5869,0,85.9031,0,0,0,0,0,0,65.3302,0,6.322e-05,6.322e-05,6.322e-05
