epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7614,2.4984,4.13716,1.80753,0.00607,0.40625,0.01209,0.00366,2.46794,3.52933,1.71559,6e-05,6e-05,6e-05
2,62.6605,2.53505,3.81912,1.66304,0.00793,0.53125,0.06278,0.02651,2.15407,3.41427,1.48783,0.00012614,0.00012614,0.00012614
3,93.743,2.24323,3.17908,1.48421,0.0096,0.64286,0.21737,0.12469,1.8548,3.28894,1.30351,0.00017644,0.00017644,0.00017644
4,123.903,2.05464,2.55858,1.33102,0.0106,0.70982,0.24314,0.14778,1.72306,3.21332,1.22671,0.0002109,0.0002109,0.0002109
5,154.822,1.72274,2.1261,1.18349,0.01087,0.72768,0.24281,0.15917,1.64071,3.21447,1.20406,0.00022952,0.00022952,0.00022952
6,189.036,1.81473,2.1521,1.24642,0.01133,0.75893,0.2542,0.1681,1.55972,3.19077,1.16882,0.0002323,0.0002323,0.0002323
7,224.396,1.53689,1.88793,1.14428,0.0118,0.79018,0.26554,0.17211,1.4698,3.16591,1.13836,0.00021924,0.00021924,0.00021924
8,259.149,1.63404,2.12971,1.1629,0.0118,0.79018,0.29134,0.17864,1.42086,3.13688,1.12287,0.00019034,0.00019034,0.00019034
9,296.221,1.43045,1.77483,1.07742,0.01187,0.79464,0.3094,0.18671,1.34892,3.09354,1.09761,0.0001456,0.0001456,0.0001456
10,330.301,1.40176,1.70225,1.10484,0.01207,0.80804,0.31725,0.18752,1.29621,3.04132,1.07294,8.502e-05,8.502e-05,8.502e-05
